file,line,end_line,loc,kind,name,bucket,status,blockers,signals,risk_score,risk,action,phase,priority,rust_blocks
src/masstree/ksearch.hh,183,183,1,typedef,type,needs-transpiler,unmigrated,template,template,20,medium,probe-current-transpiler,probe,10,0
src/masstree/kvio.hh,28,40,13,struct,kvout,refactor-then-DSL,unmigrated,raw-pointer,raw-pointer,12,low,reshape-first,reshape,48,0
src/masstree/kvproto.hh,36,44,9,enum,result_t,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/kvproto.hh,46,49,4,enum,ckptrav_order_t,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/kvproto.hh,51,54,4,struct,row_marker,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/kvrandom.hh,26,45,20,class,kvrandom_lcg_nr_simple,refactor-then-DSL,unmigrated,raw-pointer,"constructor-overloads, raw-pointer",22,medium,reshape-first,reshape,38,0
src/masstree/kvrandom.hh,50,58,9,class,kvrandom_lcg_nr,refactor-then-DSL,unmigrated,none,inheritance,15,low,reshape-first,reshape,45,0
src/masstree/kvrandom.hh,61,91,31,class,kvrandom_psdes_nr,needs-transpiler,unmigrated,operator-overload,"constructor-overloads, operator-overload, static-state",35,medium,probe-current-transpiler,probe,0,0
src/masstree/kvrandom.hh,94,103,10,class,kvrandom_random,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/kvrow.hh,31,31,1,typedef,row_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/kvrow.hh,44,49,6,struct,query_helper,needs-transpiler,unmigrated,template,template,20,medium,probe-current-transpiler,probe,10,0
src/masstree/kvrow.hh,54,98,45,class,query,needs-transpiler,unmigrated,"template, raw-pointer","raw-pointer, template",32,medium,probe-current-transpiler,probe,0,0
src/masstree/kvrow.hh,282,318,37,class,query_json_scanner,boundary-review,unmigrated,"template, I/O-or-FFI","I/O-or-FFI, template",40,medium,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/kvstats.hh,24,56,33,struct,kvstats,refactor-then-DSL,unmigrated,raw-pointer,raw-pointer,12,low,reshape-first,reshape,48,0
src/masstree/kvthread.hh,37,37,1,typedef,mrcu_epoch_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/kvthread.hh,38,38,1,typedef,mrcu_signed_epoch_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/kvthread.hh,45,49,5,struct,limbo_element,boundary-review,unmigrated,"void*, raw-pointer","raw-pointer, void*",47,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/kvthread.hh,51,67,17,struct,limbo_group,boundary-review,unmigrated,"void*, raw-pointer","raw-pointer, void*",47,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/kvthread.hh,80,84,5,struct,mrcu_callback,needs-transpiler,unmigrated,operator-overload,"operator-overload, virtual-dispatch",35,medium,probe-current-transpiler,probe,0,0
src/masstree/kvthread.hh,86,397,312,class,threadinfo,boundary-review,unmigrated,"void*, template, operator-overload, raw-pointer, threading","constructor-overloads, large-body, mutable-state, nested-type, operator-overload, raw-pointer, static-state, template, threading, void*",100,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/masstree.hh,41,41,1,typedef,ikey_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/masstree.hh,42,42,1,typedef,nodeversion_value_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/masstree.hh,44,44,1,typedef,phantom_epoch_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/masstree.hh,61,127,67,class,basic_table,needs-transpiler,unmigrated,"template, raw-pointer","constructor-overloads, raw-pointer, template",42,high,probe-current-transpiler,probe,0,0
src/masstree/masstree_context.h,22,22,1,typedef,mrcu_epoch_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/masstree_context.h,53,113,61,class,MasstreeContext,boundary-review,unmigrated,"threading, I/O-or-FFI","I/O-or-FFI, constructor-overloads, mutable-state, static-state, threading",68,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/masstree_key.hh,40,268,229,class,key,boundary-review,unmigrated,"raw-pointer, I/O-or-FFI, template","I/O-or-FFI, constructor-overloads, large-body, mutable-state, raw-pointer, static-state, template",92,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/masstree_print.hh,28,35,8,class,value_print,needs-transpiler,unmigrated,"raw-pointer, template","raw-pointer, static-state, template",42,high,probe-current-transpiler,probe,0,0
src/masstree/masstree_remove.hh,109,123,15,struct,gc_layer_rcu_callback,boundary-review,unmigrated,"operator-overload, raw-pointer, I/O-or-FFI, template","I/O-or-FFI, inheritance, operator-overload, raw-pointer, static-state, template",92,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/masstree_remove.hh,295,309,15,struct,destroy_rcu_callback,needs-transpiler,unmigrated,"operator-overload, raw-pointer","inheritance, operator-overload, raw-pointer, static-state",52,high,probe-current-transpiler,probe,0,0
src/masstree/masstree_scan.hh,28,92,65,class,scanstackelt,needs-transpiler,unmigrated,"template, operator-overload","operator-overload, template",35,medium,probe-current-transpiler,probe,0,0
src/masstree/masstree_scan.hh,94,126,33,struct,forward_scan_helper,needs-transpiler,unmigrated,"template, raw-pointer","raw-pointer, template",32,medium,probe-current-transpiler,probe,0,0
src/masstree/masstree_scan.hh,128,191,64,struct,reverse_scan_helper,needs-transpiler,unmigrated,"template, raw-pointer","mutable-state, raw-pointer, template",42,high,probe-current-transpiler,probe,0,0
src/masstree/masstree_scan.hh,328,328,1,typedef,ikey_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/masstree_scan.hh,329,329,1,typedef,key_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/masstree_scan.hh,330,330,1,typedef,leafvalue_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/masstree_scan.hh,339,339,1,typedef,mystack_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/masstree_struct.hh,30,35,6,struct,make_nodeversion,needs-transpiler,unmigrated,template,template,20,medium,probe-current-transpiler,probe,10,0
src/masstree/masstree_struct.hh,38,42,5,struct,make_prefetcher,needs-transpiler,unmigrated,template,template,20,medium,probe-current-transpiler,probe,10,0
src/masstree/masstree_struct.hh,45,111,67,class,node_base,needs-transpiler,unmigrated,"raw-pointer, template","inheritance, raw-pointer, static-state, template",57,high,probe-current-transpiler,probe,0,0
